year,Y,C,I,G,T,D_GDP,D_C,PG,PG_TFP,POP,LS,E,U,W,H,P,r,TT
1995,530463.2,274056.6,125366.8,124557.1,114170.1,111.6,105.2,1.5,0.8,105556,6666,6457,210,93.29371817,115.1746919,95.9,3.505833333,1.751766217
1996,546227.9,279898,134570.9,129736.7,115264.8,111.5,105.4,1.5,0.8,106173,6711,6486,225,94.23240034,115.4157527,96,2.657583333,1.51878232
1997,554111.8,284813.7,135287,128663.4,126647.3,111.6,106.7,1.3,0.7,106791,6787,6557,230,97.07652623,113.737621,97.7,2.448833333,1.350009079
1998,543304,283238.3,123964,126742.9,129640.5,111.4,106.8,1.1,0.7,107413,6793,6514,279,96.86956522,112.4401836,98.3,2.320916667,1.367019754
1999,534107.1,284604.1,111656.6,130002.3,122474.1,109.9,106.1,1,0.8,107925,6779,6462,317,96.4819701,111.4621898,98,2.160833333,1.485113098
2000,543394.8,286394.8,120845.6,128848,117304,108.6,105.1,1,0.9,108454,6766,6446,320,95.89519651,111.8176078,97.3,2.067166667,1.431140131
2001,539441.6,288170.9,118323.6,129789.2,126951.6,107.5,103.7,0.9,1.1,109033,6752,6412,340,95.41041483,110.9267808,96.7,1.969416667,1.330849186
2002,532390.8,287665.9,108975.2,129121.4,124845.7,106,102.2,0.9,1.1,109384,6689,6330,359,93.49376114,110.1511447,95.8,1.864916667,1.298259572
2003,530211.8,286411.7,108871,126516.9,117683,104.1,101.1,0.9,1.1,109789,6666,6316,350,92.78074866,110.395885,95.5,1.822083333,1.295504716
2004,534634.1,288414.1,112132.4,123987.4,115591.6,102.8,100.6,0.9,1,110053,6642,6329,313,92.17081851,110.9358338,95.5,1.766583333,1.2689974
2005,537385.2,290679.3,116899.6,122348.6,119292.2,101.5,99.7,0.8,0.8,110247,6651,6356,294,93.37511191,110.2813185,95.2,1.676916667,1.130993953
2006,540566,293508.6,119256.3,120862.9,115174.4,100.5,99.7,0.6,0.7,110466,6664,6389,275,93.1372549,110.686162,95.5,1.664833333,0.985045611
2007,544571.1,294745.1,119838.3,120498.8,118188.5,99.5,99.3,0.4,0.6,110740,6684,6427,257,92.90843806,109.9849626,95.5,1.88325,0.918225436
2008,533355.4,293475.4,118293.8,119792.2,139816.8,98.6,100,0.1,0.6,110908,6674,6409,265,93.73865699,108.6917818,96.8,1.9095,0.863042643
2009,499361.7,283897.2,91724.6,121523.2,118820.8,98.2,97.6,0.1,0.7,111021,6650,6314,336,92.80373832,105.7207761,95.5,1.723333333,1.118767699
2010,510139.6,286441,94525,122411.9,116293.3,96.3,96.2,0.3,0.9,111254,6632,6298,334,91.98895028,106.8831234,94.8,1.598333333,1.066901691
2011,501142,283221.5,98202.3,122937.1,113477.5,94.8,95.7,0.5,1.1,111129,6596,6293,302,92.05909511,106.5405936,94.5,1.500916667,1.023481178
2012,505377.1,287611.1,101490.5,124495.2,116089.5,94.1,95.1,0.7,1.2,111046,6565,6280,285,90.72543618,107.3059155,94.5,1.4075,1.010682005
2013,514553.3,295249.4,104172.8,127397.7,109296.3,93.9,95,1,1.2,111024,6593,6326,265,91.45775302,106.2001891,94.9,1.30375,0.866884176
2014,528215.6,299134.2,111396.7,131146.9,111857.5,95.5,96.9,1.1,1,111004,6609,6371,236,92.26467847,105.9654958,97.5,1.219166667,0.816844083
2015,548866.7,300946.6,118870.4,132032.3,112482.3,97.5,97.4,1,0.8,111208,6625,6402,222,92.70346118,105.5478536,98.2,1.142833333,0.868985466
2016,555970.6,298979.9,118815.2,133791.5,120822,98.1,97.1,0.9,0.6,111233,6678,6470,208,93.7911571,105.1038726,98.1,1.04475,1.007260447
2017,565119,303099.9,122919,134902.2,121413.4,98.1,97.6,0.7,0.4,111278,6732,6542,190,94.43920829,105.1720858,98.6,0.969416667,0.938522407
2018,569153.5,305863,126171.9,137012,119200,98,98.3,0.5,0.4,111276,6849,6682,167,96.57794677,104.1152126,99.5,0.92175,0.890948977
2019,571838,306008.7,127001.5,140444.4,126747.6,98.7,99.1,0.4,0.4,111296,6912,6750,162,98.34791059,102.2599515,100,0.881,0.915346683
2020,554074.4,293314.5,118258.7,143952,131804.1,100,100,0.4,0.5,111114,6902,6710,192,100,100,100,0.826666667,0.999916674
2021,573568.8,301948.2,126185.9,148310.7,125301.3,99.9,101,0.4,0.6,110735,6907,6713,195,99.60278054,101.1569319,99.8,0.804083333,0.870107615
2022,584900.6,319026.8,136419.5,150305.5,122603.9,100.6,104.3,0.5,0.6,110463,6902,6723,179,101.4880952,100.9777218,102.3,0.7835,0.654920901
2023,616033,330179.7,140353.3,154595.4,133596.2,105.1,107.9,0.4,0.5,110206,6925,6747,178,102.5768087,101.1006159,105.6,0.776916667,0.685500129
2024,634226,336580.9,144166.6,159143,137572.1,108.5,110.6,0.4,0.4,109929,6957,6781,176,106.5141004,100.1518807,108.5,0.841833333,0.680191291
2025,663757.3,351588,151590,164108.2,151540.052,112.2,113.9,0.4,0.3,109629,7004,6828,176,110.5110798,98.74975438,111.9,1.1035,0.712061438
2026,686325.0482,363541.992,156744.06,NA,NA,114.444,116.178,0.8,0.3,109306,NA,NA,NA,NA,99.28235456,114.0261,NA,0.712061438
2027,697306.249,369358.6639,159251.965,NA,NA,115.702884,117.455958,0.7,0.3,108944,NA,NA,NA,NA,98.69690213,115.6224654,NA,0.712061438
2028,705673.924,373790.9678,161162.9885,NA,NA,116.5128042,118.2781497,0.6,0.3,108564,NA,NA,NA,NA,98.1644763,116.8943125,NA,0.712061438
2029,714142.011,378276.4595,163096.9444,NA,NA,117.3283938,119.1060968,0.6,0.3,108146,NA,NA,NA,NA,97.57538292,118.18015,NA,0.712061438
2030,722711.7152,382815.777,165054.1077,NA,NA,118.1496926,119.9398394,0.6,0.3,107719,NA,NA,NA,NA,96.93674143,119.4801316,NA,0.712061438
2031,731384.2558,387409.5663,167034.757,NA,NA,118.9767404,120.7794183,0.5,0.3,107255,NA,NA,NA,NA,96.23755015,120.7944131,NA,0.712061438
2032,740160.8668,392058.4811,169039.1741,NA,NA,119.8095776,121.6248742,0.5,0.3,106740,NA,NA,NA,NA,95.61512894,122.1231516,NA,0.712061438
2033,749042.7972,396763.1829,171067.6442,NA,NA,120.6482446,122.4762484,0.5,0.3,106192,NA,NA,NA,NA,94.94676312,123.4665063,NA,0.712061438
2034,757282.268,401127.5779,172949.3883,NA,NA,121.4927824,123.3335821,0.4,0.3,105591,NA,NA,NA,NA,94.22989314,124.8246378,NA,0.712061438
2035,765612.3729,405539.9812,174851.8316,NA,NA,122.3432318,124.1969172,0.4,0.3,104948,NA,NA,NA,NA,93.53372551,126.1977089,NA,0.712061438
2036,773910.8865,409935.6508,176747.0599,NA,NA,123.1996345,125.0662956,0.4,0.3,104297,NA,NA,NA,NA,92.87978708,127.5858836,NA,0.712061438
2037,782179.4125,414315.4362,178635.4397,NA,NA,124.0620319,125.9417597,0.4,0.3,103601,NA,NA,NA,NA,92.21527412,128.9893284,NA,0.712061438
2038,790426.7364,418683.9909,180518.9773,NA,NA,124.9304661,126.823352,0.4,0.3,102871,NA,NA,NA,NA,91.62389689,130.408211,NA,0.712061438
2039,798648.3482,423038.9262,182396.6427,NA,NA,125.8049794,127.7111154,0.4,0.3,102145,NA,NA,NA,NA,91.03011468,131.8427013,NA,0.712061438
2040,806846.7167,427381.5496,184268.9998,NA,NA,126.6856142,128.6050932,0.4,0.3,101418,NA,NA,NA,NA,90.40379648,133.292971,NA,0.712061438
