,RK,I,RI,I_DEF,Y,RY,Y_DEF,EC,E,H,r,Tau,Delta,JIP_UC,SNA_UC
1994,623503.9,89003.3,74650.9,119.2,521675.1,464267.4,112.4,261625.6,5356.5,1909.1,4.363333333,66.80158041,NA,139.428772,115.9181222
1995,633070.2,91924.2,78359.3,117.3,530463.2,475140.8,111.6,266004.1,5379.5,1911.6,3.4435,69.36932372,13.2088829,139.5070513,116.5932909
1996,652745.4,96951.9,83554.8,116,546227.9,489753.6,111.5,270691.5,5419,1914.8,3.1015,70.61473474,12.20665575,142.6004786,118.7784408
1997,672576.7,99717.6,86803,114.9,554111.8,496428.8,111.6,278752.5,5469.7,1887.1,2.373666667,69.79299833,12.23850831,137.1518767,114.7348685
1998,683061,94245.8,83086,113.4,543304,487628.9,111.4,274573.3,5425.5,1866.5,1.541416667,74.79504714,12.45382125,132.522912,108.8932963
1999,690962.4,87750.6,78994.3,111.1,534107.1,485933.9,109.9,269253.2,5368.7,1850.9,1.749,76.15903758,11.68990764,138.0537421,106.8516949
2000,701749.3,93225.3,84580.9,110.2,543394.8,500406.6,108.6,269891.9,5374.6,1858.5,1.744416667,74.67910291,11.93095312,136.4525959,109.7649676
2001,710804.9,91053.1,84581.6,107.7,539441.6,501830.8,107.5,266607.5,5391.9,1843.1,1.319,83.34731278,11.68472844,130.9665464,106.5261881
2002,713480.3,84640.2,80298.3,105.4,532390.8,502257.3,106,257436.8,5352.4,1830.6,1.263166667,84.17572783,11.53126547,128.6792592,109.0443458
2003,716599,83039.7,80787.3,102.8,530211.8,509189,104.1,255183.6,5369.6,1834.2,1.00325,73.720976,11.20157067,122.0220132,110.4840611
2004,722919.2,83687.1,82738.3,101.1,534634.1,519947.9,102.8,256593.3,5404.3,1842.7,1.492666667,66.74130388,10.79640078,122.8408234,111.5284542
2005,733117.8,89354,88812.1,100.6,537385.2,529558,101.5,261326.4,5466.8,1830.5,1.35475,64.05861871,10.94941177,119.4842642,109.6654201
2006,744573.5,91710.1,90929.3,100.9,540566,537746.6,100.5,266138.1,5570.5,1837.3,1.7405,50.53509186,10.94699924,127.9644063,105.2522376
2007,755589.5,92758.7,92376.5,100.4,544571.1,547040.9,99.5,267694.3,5643.5,1826.7,1.6655,45.5865885,10.97845948,130.0143117,104.8242417
2008,761944.2,90952.9,89951.7,101.1,533355.4,540659,98.6,267968.9,5665.1,1805.3,1.467333333,48.1264971,11.19631758,130.8757682,96.27938651
2009,754070.8,77307.6,78443.3,98.6,499361.7,508565.8,98.2,254795.6,5625.6,1756.8,1.33375,50.48465614,11.17942757,129.5696294,85.45146132
2010,745677.4,75167.1,77118,97.5,510139.6,529602.4,96.3,252304.1,5647,1775.2,1.148333333,49.82331006,11.08125391,125.6266065,93.83635565
2011,737122.5,76572.7,79139.4,96.8,501142,528541.3,94.8,252732.3,5647.7,1770.2,1.102416667,50.32505302,11.41614323,114.4835751,89.01306548
2012,735926.4,79409.3,82412.6,96.4,505377.1,537256.6,94.1,252878.7,5629.3,1782.3,0.835583333,49.51410606,10.93514307,108.2013538,90.61377399
2013,735587.2,81868,84303.3,97.1,514553.3,547987.1,93.9,254642.2,5668.8,1763,0.689666667,42.86078248,11.17057358,106.4352658,94.10542795
2014,740014.3,88612.8,90047,98.4,528215.6,552951.4,95.5,258856,5701.8,1758.4,0.520333333,36.74975534,11.44469344,101.3442578,93.73994753
2015,748231.3,94492,95206.4,99.2,548866.7,562904.4,97.5,261384.7,5733.9,1752.4,0.35,34.10640246,11.65855849,100,100
2016,755926.3,94146,95386.2,98.7,555970.6,566872.8,98.1,266925.7,5812.4,1743.9,-0.06625,31.15545196,11.55404753,99.34433738,98.73625014
2017,763930.4,97331.7,97848.9,99.5,565119,576075.7,98.1,271000.4,5876,1745.1,0.051666667,28.32125045,11.8169721,101.2224319,99.6711564
2018,774702.1,100849.3,100844,100,569153.5,580881,98,279905.7,5989.5,1727.8,0.065,26.80201751,11.79133596,95.31610434,94.96454403
2019,783363.9,101949.7,101731.7,100.2,571838,579089,98.7,284889.7,6058.6,1696.6,-0.110416667,26.75897621,12.04177709,91.4043537,90.79375848
2020,785491.9,97037.4,97037.4,100,554074.4,554285,100,281114.4,6033.3,1659.7,-0.005416667,27.40365829,12.11562085,91.34607698,80.96727351
2021,789000.5,100800.9,99381.3,101.4,573568.8,574040.8,99.9,287685.3,6051.2,1678.4,0.071666667,27.17714746,12.3861621,NA,83.39367949
2022,794844.7,107813.7,102455.3,105.2,584900.6,581685,100.6,295447.4,6086.3,1675.5,0.231666667,27.02865584,12.92388281,NA,83.72201753
2023,801669.7,113786.1,104246.7,109.2,616033,585877.7,105.1,300547,6129.3,1677.9,0.5625,27.17255047,13.45685516,NA,97.89178516
2024,820134.4,117611.9,104104.9,113,634226,584471.1,108.5,311663,6184.2,1661.5,0.918333333,25.95724807,12.3675873,NA,NA
