year,Y,Y/総人口,ΔY/総人口,Y_prj,C,I,I_hus,I_fac,I_inv,G,G_c,G_k,G_inv,T,可処分所得,D_GDP,D_GDP（増減率）,POP,総人口,～14歳,LS,E,U,W,WM,WM_org,WM_inc,H,H_org,H_inc,P,P（増減率）,r,EXP_外貨建,IMP_円建,TT
1995,"530,463.2",4.2,,,"274,056.6","125,366.8","31,878.2","91,924.2","1,564.4","124,557.1","78,549.9","45,895.0",112.2,"114,170.1","416,293.1",111.6,,"105,556","125,570","20,014",6666,6457,210,93.3,109.9,109.9,1.1,117.8,117.8,0.1,95.9,,3.506,136.4,77.9,1.752
1996,"546,227.9",4.3,1.027,,"279,898.0","134,570.9","35,343.6","96,951.9","2,275.4","129,736.7","81,158.7","48,325.3",252.7,"115,264.8","430,963.1",111.5,-0.1,"106,173","125,859","19,686",6711,6486,225,94.2,111.1,111.1,1.1,117.9,117.9,0.1,96.0,0.1,2.658,129.7,85.4,1.519
1997,"554,111.8",4.4,1.012,,"284,813.7","135,287.0","32,798.0","99,717.6","2,771.4","128,663.4","83,020.6","45,463.8",179.0,"126,647.3","427,464.5",111.6,0.1,"106,791","126,157","19,366",6787,6557,230,97.1,112.9,112.9,1.6,116.3,116.3,-1.4,97.7,1.8,2.449,123.9,91.8,1.350
1998,"543,304.0",4.3,0.978,,"283,238.3","123,964.0","27,989.8","94,245.8","1,728.4","126,742.9","83,865.4","42,959.7",-82.2,"129,640.5","413,663.5",111.4,-0.2,"107,413","126,472","19,059",6793,6514,279,96.9,111.4,111.4,-1.3,115.0,115.0,-1.1,98.3,0.6,2.321,119.4,87.3,1.367
1999,"534,107.1",4.2,0.982,,"284,604.1","111,656.6","27,625.7","87,750.6","-3,719.7","130,002.3","85,427.9","44,694.1",-119.7,"122,474.1","411,633.0",109.9,-1.3,"107,925","126,667","18,742",6779,6462,317,96.5,109.7,109.7,-1.5,113.7,113.7,-1.2,98.0,-0.3,2.161,117.6,79.2,1.485
2000,"543,394.8",4.3,1.015,,"286,394.8","120,845.6","28,001.5","93,225.3",-381.2,"128,848.0","88,567.1","40,268.9",12.0,"117,304.0","426,090.8",108.6,-1.2,"108,454","126,926","18,472",6766,6446,320,95.9,109.8,109.8,0.1,114.5,114.5,0.7,97.3,-0.7,2.067,118.7,83.0,1.431
2001,"539,441.6",4.2,0.990,,"288,170.9","118,323.6","27,024.8","91,053.1",245.7,"129,789.2","91,635.6","38,254.2",-100.6,"126,951.6","412,490.0",107.5,-1.0,"109,033","127,316","18,283",6752,6412,340,95.4,108.1,108.1,-1.6,113.3,113.3,-1.0,96.7,-0.6,1.969,113.1,85.0,1.331
2002,"532,390.8",4.2,0.986,-0.9,"287,665.9","108,975.2","26,127.3","84,640.2","-1,792.3","129,121.4","93,291.2","35,913.2",-83.0,"124,845.7","407,545.1",106.0,-1.4,"109,384","127,486","18,102",6689,6330,359,93.5,104.9,104.9,-2.9,112.2,112.2,-0.9,95.8,-0.9,1.865,108.8,83.8,1.298
2003,"530,211.8",4.2,0.994,0.4,"286,411.7","108,871.0","26,001.3","83,039.7",-170.0,"126,516.9","93,336.1","33,278.3",-97.5,"117,683.0","412,528.8",104.1,-1.8,"109,789","127,694","17,905",6666,6316,350,92.8,104.1,104.1,-0.7,112.2,112.2,-0.1,95.5,-0.3,1.822,107.6,83.1,1.296
2004,"534,634.1",4.2,1.008,0.4,"288,414.1","112,132.4","26,870.3","83,687.1","1,575.0","123,987.4","93,570.2","30,401.7",15.5,"115,591.6","419,042.5",102.8,-1.2,"110,053","127,787","17,734",6642,6329,313,92.2,103.6,103.6,-0.5,112.4,112.4,0.1,95.5,0.0,1.767,109.8,86.5,1.269
2005,"537,385.2",4.2,1.005,0.8,"290,679.3","116,899.6","26,941.4","89,354.0",604.2,"122,348.6","94,128.8","28,160.3",59.5,"119,292.2","418,093.0",101.5,-1.3,"110,247","127,768","17,521",6651,6356,294,93.4,104.3,104.3,0.8,111.7,111.7,-0.6,95.2,-0.3,1.677,110.7,97.8,1.131
