"year","logit_pred","ARI"
1995,-47.0193061236323,3.7999230983174e-21
1996,-45.7074320594042,1.41095926164025e-20
1997,-44.3955579951761,5.23906928245446e-20
1998,-43.083683930948,1.94533234889077e-19
1999,-41.7718098667199,7.22326379670993e-19
2000,-40.4599358024918,2.68208873957251e-18
2001,-39.1480617382637,9.95893298292419e-18
2002,-37.8361876740356,3.69787713191706e-17
2003,-36.5243136098075,1.37306831024985e-16
2004,-35.2124395455794,5.09837541204347e-16
2005,-33.9005654813513,1.89309094442647e-15
2006,-32.5886914171231,7.02928488828775e-15
2007,-31.276817352895,2.61006192999772e-14
2008,-29.9649432886669,9.69148837568667e-14
2009,-28.6530692244388,3.59857158393687e-13
2010,-27.3411951602107,1.33619491070081e-12
2011,-26.0293210959826,4.96145983964216e-12
2012,-24.7174470317545,1.8422524695315e-11
2013,-23.4055729675264,6.84051523354814e-11
2014,-22.0936989032983,2.53996938139312e-10
2015,-20.7818248390702,9.43122591632572e-10
2016,-19.4699507748421,3.5019328488788e-09
2017,-18.158076710614,1.30031171999494e-08
2018,-16.8462026463859,4.82822086697632e-08
2019,-15.5340861051591,1.7932136878683e-07
2020,-14.2204855395337,6.66993052900206e-07
2021,-12.9039023439081,2.48831487846644e-06
2022,-11.5828379126806,9.32466761669739e-06
2023,-10.2557936402494,3.51520087685275e-05
2024,-8.92127092101288,0.000133500620720156
2025,-7.57817439792308,0.000511232663446917
2026,-6.22702170814707,0.00197143202118739
2027,-4.86873373740562,0.00762450817098755
2028,-3.50423137141957,0.029192074927509
2029,-2.1344354959097,0.105794649984481
2030,-0.76026699659682,0.318588301167096
2031,0.617449144385143,0.649638174212513
2032,1.99827155924975,0.880615483308645
2033,3.38185478379745,0.967132614548347
2034,4.7678533538287,0.991573013532924
2035,6.15592180514392,0.997883603592267
2036,7.54571467354356,0.999471909508499
2037,8.93688649482808,0.999868567603798
2038,10.3290918047979,0.999967332324083
2039,11.7219851392535,0.999991886597651
2040,13.1152210339953,0.999997985668236
