year,hj_uc_index_2015,jip_uc_index_2015,sna_uc_index_2015,official_composite_index_2015,composite_uc_index_2015,composite_source
1995,192.71553187256413,139.5070513,116.5932909,128.0501711,128.0501711,JIP_SNA_equal_weight
1996,171.46656984379277,142.6004786,118.7784408,130.6894597,130.6894597,JIP_SNA_equal_weight
1997,160.98487863437228,137.1518767,114.7348685,125.9433726,125.9433726,JIP_SNA_equal_weight
1998,156.23122178944877,132.522912,108.8932963,120.70810415,120.70810415,JIP_SNA_equal_weight
1999,154.72716627348026,138.0537421,106.8516949,122.4527185,122.4527185,JIP_SNA_equal_weight
2000,143.7329998250467,136.4525959,109.7649676,123.10878175,123.10878175,JIP_SNA_equal_weight
2001,148.10301876830326,130.9665464,106.5261881,118.74636724999999,118.74636724999999,JIP_SNA_equal_weight
2002,141.69127903745715,128.6792592,109.0443458,118.8618025,118.8618025,JIP_SNA_equal_weight
2003,135.80441290590113,122.0220132,110.4840611,116.25303715000001,116.25303715000001,JIP_SNA_equal_weight
2004,126.9237544777865,122.8408234,111.5284542,117.1846388,117.1846388,JIP_SNA_equal_weight
2005,115.93310122322234,119.4842642,109.6654201,114.57484215,114.57484215,JIP_SNA_equal_weight
2006,112.55904833041683,127.9644063,105.2522376,116.60832195,116.60832195,JIP_SNA_equal_weight
2007,118.78330900341777,130.0143117,104.8242417,117.41927670000001,117.41927670000001,JIP_SNA_equal_weight
2008,108.9328821570063,130.8757682,96.27938651,113.577577355,113.577577355,JIP_SNA_equal_weight
2009,133.0469276745011,129.5696294,85.45146132,107.51054536000001,107.51054536000001,JIP_SNA_equal_weight
2010,117.15822266463408,125.6266065,93.83635565,109.731481075,109.731481075,JIP_SNA_equal_weight
2011,115.36967891760284,114.4835751,89.01306548,101.74832029,101.74832029,JIP_SNA_equal_weight
2012,105.75672799662973,108.2013538,90.61377399,99.40756389500001,99.40756389500001,JIP_SNA_equal_weight
2013,97.345794728226,106.4352658,94.10542795,100.270346875,100.270346875,JIP_SNA_equal_weight
2014,94.14906202560391,101.3442578,93.73994753,97.54210266499999,97.54210266499999,JIP_SNA_equal_weight
2015,100,100,100,100,100,JIP_SNA_equal_weight
2016,106.5725820886497,99.34433738,98.73625014,99.04029376,99.04029376,JIP_SNA_equal_weight
2017,99.07099936809333,101.2224319,99.6711564,100.44679415,100.44679415,JIP_SNA_equal_weight
2018,102.23156630222007,95.31610434,94.96454403,95.140324185,95.140324185,JIP_SNA_equal_weight
2019,105.84222949062338,91.4043537,90.79375848,91.09905609,91.09905609,JIP_SNA_equal_weight
2020,110.83937102946562,91.34607698,80.96727351,86.156675245,86.156675245,JIP_SNA_equal_weight
2021,100.96031467274676,NA,83.39367949,83.39367949,83.39367949,SNA_only
2022,89.11619172266033,NA,83.72201753,83.72201753,83.72201753,SNA_only
2023,100.45973966764672,NA,97.89178516,97.89178516,97.89178516,SNA_only
2024,99.77372496164696,NA,NA,NA,97.22330637995837,HJ_growth_extension
