year,data_type,POP,RY,D_GDP,D_C,P,C_REAL,C_REAL_PC,PG,PG_TFP,A_LABOR,PartRate,ADD_LFPR,U_rate,W,H,LS,MHS,E,L,MHD,E_RY,MHD_RY,E_est,U
1995,actual,105556,475325.44802867377,1.1159999999999999,1.052,0.9590000000000001,260510.07604562736,2.467979802622564,1.5,0.8,0.7616505477175677,0.6315131304710296,0,0.03135313531353135,0.9329371817000001,115.1746919,66660,7677544.962054,64570,7436829.855983,7436829.855983,0.135843768238777,15.645764153436147,64570,2090
1996,actual,106173,489890.4932735426,1.115,1.054,0.96,265557.8747628083,2.501180853539114,1.5,0.8,0.7720900768426551,0.6320816026673448,0,0.03352704514975414,0.9423240034,115.4157527,67110,7745551.163697,64860,7485865.720122,7485865.720122,0.13239693541834827,15.280691956481956,64860,2250
1997,actual,106791,496515.9498207886,1.1159999999999999,1.067,0.977,266929.4283036551,2.4995498525498885,1.3,0.7,0.7826726949062065,0.6355404481651076,0,0.03388831589804037,0.9707652623,113.737621,67870,7719372.33727,65570,7457775.808970001,7457775.808970001,0.1320602087881904,15.020213976332068,65570,2300
1998,actual,107413,487705.56552962295,1.114,1.068,0.983,265204.40074906364,2.469015861665382,1.1,0.7,0.7934003631503496,0.632418794745515,0,0.041071691447077875,0.9686956522,112.4401836,67930,7638061.671948,65140,7324353.559704,7324353.559704,0.1335641924226584,15.017982318389441,65140,2790
1999,actual,107925,485993.72156505904,1.099,1.061,0.98,268241.3760603205,2.485442446702066,1,0.8,0.8042750696988891,0.6281213805883715,0,0.046762059300781825,0.964819701,111.4621898,67790,7556021.846542,64620,7202686.704876,7202686.704876,0.13296468067921213,14.820534474562734,64620,3170
2000,actual,108454,500363.5359116023,1.0859999999999999,1.051,0.973,272497.431018078,2.5125622938580228,1,0.9,0.8152988299257597,0.6238589632470909,0,0.04729530002955956,0.9589519651,111.8176078,67660,7565579.343748,64460,7207762.998788,7207762.998788,0.12882633400246007,14.405052489798884,64460,3200
2001,actual,109033,501806.1395348837,1.075,1.037,0.9670000000000001,277889.0067502411,2.548668813572415,0.9,1.1,0.826473686828529,0.6192620582759348,0,0.050355450236966824,0.9541041482999999,110.9267808,67520,7489776.239616,64120,7112625.184896001,7112625.184896001,0.127778428656596,14.174049746558666,64120,3400
2002,actual,109384,502255.47169811325,1.06,1.022,0.958,281473.4833659491,2.573260105371436,0.9,1.1,0.8378017114070186,0.611515395304615,0,0.05367020481387352,0.9349376114000001,110.1511447,66890,7368010.068983,63300,6972567.45951,6972567.45951,0.12603147913149512,13.88251169456835,63300,3590
2003,actual,109789,509329.2987512008,1.041,1.011,0.955,283295.45004945603,2.580362787250599,0.9,1.1,0.8492850030471171,0.607164652196486,0,0.052505250525052505,0.9278074866,110.395885,66660,7358989.694100001,63160,6972604.096600001,6972604.096600001,0.12400621789254784,13.689776169750655,63160,3500
2004,actual,110053,520072.08171206224,1.028,1.006,0.955,286693.9363817097,2.6050533504921236,0.9,1,0.8609256899098514,0.6035273913478052,0,0.04712436013249021,0.9217081851000001,110.9358338,66420,7368358.080996,63290,7021128.921202,7021128.921202,0.1216946693074759,13.500299608640109,63290,3130
2005,actual,110247,529443.5467980296,1.015,0.997,0.9520000000000001,291553.961885657,2.6445523405231617,0.8,0.8,0.8727259293257922,0.6032817219516178,0,0.044354232446248684,0.9337511191,110.2813185,66510,7334810.493435,63560,7009480.60386,7009480.60386,0.12005057080098223,13.239335234609923,63560,2950
2006,actual,110466,537876.6169154228,1.005,0.997,0.955,294391.7753259779,2.664998961906631,0.6,0.7,0.8846879081948653,0.6032625423207141,0,0.041266506602641057,0.931372549,110.686162,66640,7376125.83568,63890,7071738.89018,7071738.89018,0.1187818878730812,13.1475112837857,63890,2750
2007,actual,110740,547307.6381909547,0.995,0.993,0.955,296822.86002014094,2.6803581363566997,0.4,0.6,0.8968138433916423,0.603575943651797,0,0.038450029922202276,0.9290843806,109.9849626,66840,7351394.900184,64270,7068733.546302,7068733.546302,0.11742938617198014,12.915466646266193,64270,2570
2008,actual,110908,540928.3975659229,0.986,1,0.968,293475.4,2.646115699498684,0.1,0.6,0.9091059821761867,0.6017600173116456,0,0.03970632304465088,0.9373865698999999,108.6917818,66740,7254089.517332,64090,6966056.295562,6966056.295562,0.11848148532854452,12.877963750670064,64090,2650
2009,actual,111021,508514.96945010184,0.982,0.976,0.955,290878.2786885246,2.6200293520011946,0.1,0.7,0.9215666026105314,0.5989857774655245,0,0.05052631578947368,0.9280373832,105.7207761,66500,7030431.610649999,63140,6675209.8029539995,6675209.8029539995,0.12416546963854055,13.126869815007494,63140,3360
2010,actual,111254,529739.979231568,0.963,0.9620000000000001,0.948,297755.71725571726,2.6763596567828327,0.3,0.9,0.9341980139808649,0.5961133981699535,0,0.050361881785283474,0.9198895027999999,106.8831234,66320,7088488.743888,62980,6731499.1117320005,6731499.1117320005,0.11888851600620692,12.70717592713429,62980,3340
2011,actual,111129,528630.8016877637,0.948,0.9570000000000001,0.945,295947.23092998954,2.663096319862408,0.5,1.1,0.9470025572255031,0.5935444393452655,0,0.04593693147362038,0.9205909511,106.5405936,65960,7027417.553855999,62930,6704599.555248,6704599.555248,0.11904338490886816,12.682952892344096,62930,3030
2012,actual,111046,537063.8682252922,0.941,0.951,0.945,302430.17875920085,2.72346756082345,0.7,1.2,0.9599826053687283,0.5911964411144931,0,0.04341203351104341,0.9072543618000001,107.3059155,65650,7044633.352574999,62800,6738811.4934,6738811.4934,0.1169320889292372,12.547504853879214,62800,2850
2013,actual,111024,547980.0851970181,0.9390000000000001,0.95,0.9490000000000001,310788.8421052632,2.799294225620255,1,1.2,0.9731405639605736,0.5938355670845943,0,0.04049749734566965,0.9145775302,106.2001891,65930,7001778.467363,63260,6718223.962466001,6718223.962466001,0.1154421514739095,12.259978316640034,63260,2670
2014,actual,111004,553105.3403141361,0.955,0.9690000000000001,0.975,308704.02476780186,2.781017123417191,1.1,1,0.986478871522636,0.5953839501279233,0,0.03601149947041912,0.92264678470000006,105.9654958,66090,7003259.617422,63710,6751061.737418,6751061.737418,0.11518601495298511,12.20574318371928,63710,2380
2015,actual,111208,562940.2051282051,0.975,0.9740000000000001,0.982,308980.08213552355,2.778397976184479,1,0.8,1,0.595730522983958,0,0.03366037735849057,0.9270346118,105.5478536,66250,6992545.301,64020,6757173.587472,6757173.587472,0.11372433415982423,12.003359372658608,64020,2230
2016,actual,111233,566738.6340468909,0.981,0.971,0.981,307909.2687950567,2.7681467621574236,0.9,0.6,1.013706455219354,0.6003614035403163,0,0.031147050014974545,0.9379115710000001,105.1038726,66780,7018836.612228001,64700,6800220.55722,6800220.55722,0.11416197187405235,11.99886534761518,64700,2080
2017,actual,111278,576064.2201834864,0.981,0.976,0.986,310553.17622950824,2.7907868242555423,0.7,0.4,1.0276007773533882,0.6049713330577473,0,0.028223410576351752,0.9443920829,105.1720858,67320,7080184.816056,65420,6880357.853036,6880357.853036,0.11356372728575749,11.943734069865489,65420,1900
2018,actual,111276,580768.8775510205,0.98,0.983,0.995,311152.5940996948,2.79622375085099,0.5,0.4,1.0416855413915558,0.615496603041087,0,0.024383121623594687,0.9657794677,104.1152126,68490,7130850.910974001,66820,6956978.5059320005,6956978.5059320005,0.11505437461071573,11.978910673154711,66820,1670
2019,actual,111296,579369.807497467,0.987,0.991,1,308787.790110999,2.774473387282553,0.4,0.4,1.0559633576172878,0.621046578493387,0,0.0234375,0.9834791059,102.2599515,69120,7068207.84768,67500,6902546.72625,6902546.72625,0.11650589852370777,11.91388753249828,67500,1620
2020,actual,111114,554074.4,1,1,1,293314.5,2.639761866191479,0.4,0.5,1.0704368720917479,0.6211638497399068,0,0.02781802376122863,1,100,69020,6902000,67100,6710000,6710000,0.12110286993948827,12.110286993948826,67100,1920
2021,actual,110735,574142.942942943,0.9990000000000001,1.01,0.998,298958.61386138614,2.6997662334527126,0.4,0.6,1.0851087671442188,0.6237413645188965,0,0.028087447517011727,0.9960278054,101.1569319,69070,6986909.286333,67130,6790664.838447,6790664.838447,0.11692210245745584,11.827481155893683,67130,1940
2022,actual,110463,581412.1272365806,1.006,1.043,1.023,305874.20901246404,2.7690195722772697,0.5,0.6,1.0999817618692096,0.6248246019028996,0,0.025934511735728773,1.014880952,100.9777218,69020,6969482.358636,67230,6788732.236614,6788732.236614,0.11563226298622363,11.676282482927327,67230,1790
2023,actual,110206,586139.8667935301,1.051,1.079,1.056,306005.2826691381,2.776666267436783,0.4,0.5,1.115058612630376,0.6283686913598171,0,0.025703971119133574,1.025768087,101.1006159,69250,7001217.651075,67470,6821258.554772999,6821258.554772999,0.11510904448300657,11.63759529289246,67470,1780
2024,actual,109929,584540.0921658986,1.085,1.1059999999999999,1.085,304322.69439421344,2.768356797516701,0.4,0.4,1.1303421135713494,0.6328630297737631,0,0.025298260744573812,1.065141004,100.1518807,69570,6967566.340299,67810,6791299.030267,6791299.030267,0.11600572981870814,11.618192013319693,67810,1760
2025,actual,109629,591584.0463458111,1.122,1.139,1.119,308681.2993854258,2.815690185857992,0.4,0.3,1.1458350971335651,0.6388820476333816,0,0.025128498001142203,1.1051107980000001,98.74975438,70040,6916432.7967751995,68280,6742633.2290664,6742633.2290664,0.11541893399891796,11.39759138319458,68280,1760
2026,simulation,109306,599703.8273740868,1.1444400000000001,1.1565734485314225,1.137952776258609,314326.76624352153,2.875658849866627,0.8,0.3,1.1615404345811904,0.6438561145463078,0.046452785208657144,0.019994816809675724,1.1325732033234177,97.58258362844349,70377.33645659871,6867602.320323149,69298.00358315573,6762278.2299374705,6762278.2299374705,0.11555371238264353,11.276029802156417,68970.15450659611,1407.1819500026043
2027,simulation,108944,602669.7216985533,1.15702884,1.1739516968341104,1.1568079841121537,314628.5020892078,2.8879837539397104,0.7,0.3,1.1774610365332467,0.6505039637366874,0.04180750668779143,0.020599363206026403,1.1599937766206907,96.30783540969072,70868.50382532967,6825192.202140887,69628.6969845701,6705789.088981206,6705789.088981206,0.11553375667908096,11.126806022512186,69408.65777516403,1459.8460501656373
2028,simulation,108564,605662.123442395,1.165128042,1.1918720727452798,1.1762282248878961,313616.6844978878,2.888772378485389,0.6,0.3,1.1935998535030237,0.6538861725956604,0.037162228166925715,0.02015227184217258,1.1885978755647832,95.04446699937654,70988.49844167527,6747063.997475098,69817.4338547514,6635760.787989074,6635760.787989074,0.11527455845832135,10.956208967259625,69557.91892341098,1430.5795182642846
2029,simulation,108146,608669.3833185332,1.173283938,1.2101591801460985,1.1960583745124136,312584.0515082751,2.890389394968608,0.6,0.3,1.2099598764448904,0.657977179239187,0.03251694964606,0.0200923399658026,1.2180019327234988,93.81634813253618,71157.60002600112,6675746.176315087,69985.50333701269,6565784.345295955,6565784.345295955,0.11498114617732856,10.787111238450288,69727.8773351281,1429.7226908730183
2030,simulation,107719,611691.5747269578,1.181496926,1.2287370905491972,1.2162320578321306,311552.2270340976,2.8922680960099667,0.6,0.3,1.2265441373085975,0.6618437264318177,0.027871671125194286,0.020092373221562616,1.2481377296468807,92.65275338949495,71293.14436750897,6605506.12344447,70117.90582391428,6496617.036490961,6496617.036490961,0.1146295105588351,10.620739772966255,69860.69590273823,1432.4484647707347
2031,simulation,107255,614728.7724819868,1.189767404,1.2475082937941147,1.2366630156632503,310546.6859236264,2.8954052111661595,0.5,0.3,1.2433557096011791,0.6656617374283772,0.023226392604328572,0.02020911875755184,1.2788666091145529,91.57189702504472,71395.5496478806,6537825.920402191,70202.20807055655,6428549.368367767,6428549.368367767,0.11420029647727878,10.457537789246949,69952.7085062859,1442.8411415947076
2032,simulation,106740,617781.0502521961,1.198095776,1.2664080919234124,1.257294145547618,309583.05115102674,2.9003471158986955,0.5,0.3,1.260397708956556,0.6693790082442348,0.018581114083462857,0.02040185057575197,1.3100922508059296,90.58521717592551,71449.51533998962,6472269.8641875805,70230.11719162375,6361810.4180939365,6361810.4180939365,0.11368124218597152,10.297840012245214,69991.81300431326,1457.7023356763664
2033,simulation,106192,620848.4836919045,1.2064824459999999,1.2852894946650282,1.2779934647046394,308695.5775697866,2.9069569983594485,0.5,0.3,1.2776732937129454,0.6729769753641484,0.013935835562597145,0.02075913418394455,1.3415840056530308,89.70104249356554,71464.77096786964,6410464.457381804,70198.74396646772,6296900.515531048,6296900.515531048,0.11306904310859812,10.142411040591153,69981.22419792277,1483.5467699468707
2034,simulation,105591,623314.614284445,1.2149278239999999,1.3036487011319833,1.2983044901048386,307696.0668558126,2.9140368673069923,0.4,0.3,1.2951856654981864,0.6762699853897466,0.009290557041731427,0.021498531961345713,1.3727090558822752,88.92857482595105,71408.02402728873,6350213.807884056,70049.00656059304,6229358.321407234,6229358.321407234,0.11238146026947911,9.993923098624018,69872.85634044153,1535.1676868472093
2035,simulation,104948,625790.5416064054,1.223432318,1.3215776170142919,1.3183090617478892,306860.50972639496,2.923929086084489,0.4,0.3,1.3129380698230866,0.6792339259828866,0.0046452785208657135,0.022205723628989302,1.4034960696448755,88.25995505081947,71284.24206405198,6291544.000404962,69846.49958114371,6164648.913488825,6164648.913488825,0.11161322349463389,9.850978088713454,69701.32388567567,1582.9181783763122
2036,simulation,104297,628176.2844840258,1.231996345,1.3388520318731052,1.337801748415839,306184.4334108261,2.93569741613686,0.4,0.3,1.3309337966829018,0.6820023124127439,0,0.023111143484719432,1.4335857757131523,87.69005389017067,71130.79517771195,6237463.262384253,69592.86762674036,6102602.312560377,6102602.312560377,0.11078556982440504,9.714792588155344,69486.88116417766,1643.9140135342898
2037,simulation,103601,630474.4493710005,1.240620319,1.3549549627258224,1.3563086634509753,305778.012994988,2.9514967326086428,0.4,0.3,1.3491761811670608,0.6853279484529748,0,0.024495058046115417,1.4621550878709728,87.20916351182544,71000.66078767665,6191908.236080145,69313.18648424732,6044745.0136303725,6044745.0136303725,0.10993813714956784,9.58761297886215,69261.49548036997,1739.1653073066902
2038,simulation,102871,632693.3382024739,1.249304661,1.3701599034306735,1.3740743961400084,305573.0866533742,2.9704492680480814,0.4,0.3,1.3676686040772463,0.6881312652686514,0,0.02555766272549125,1.4895969642866587,86.80682312885476,70788.75138945144,6144946.621376582,69004.02174474913,5990019.910776086,5990019.910776086,0.10906392967688641,9.467493253199333,68979.55635668119,1809.19503277025
2039,simulation,102145,634830.4749215674,1.258049794,1.3843452845079152,1.3909835392350522,305587.72506699804,2.9917051746732395,0.4,0.3,1.3864144925539477,0.6908287724647375,0,0.026700267408443216,1.5156953947261063,86.47373192662756,70564.70496341061,6101993.380487534,68675.22261350192,5938602.790281436,5938602.790281436,0.10817883722735061,9.354627770532195,68680.60847128964,1884.0964921209636
2040,simulation,101418,636888.9804853627,1.266856142,1.397590149755411,1.407103564063572,305798.91370499076,3.0152331312487997,0.4,0.3,1.4054173207116016,0.6932315517380498,0,0.02772855630908647,1.5405484109119247,86.19995198288036,70306.15751416954,6060387.401822237,68330.57537861388,5890092.316599104,5890092.316599104,0.10728804779530063,9.248224568291887,68356.66926666239,1949.488247507153
