year,t_ai,L,RY,RK,W_PY,UCAP,UCAP_source,log_L,log_RY,log_RK,log_W_PY,log_UCAP,A_LABOR_hat,fitted_log_L,fitted_L,residual_log_L
1997,-18,7457775.808970001,496515.9498207886,672576.7,0.8698613461469535,1.2594337260000001,JIP_SNA_equal_weight,15.82476777879308,13.115370886464552,13.4188714359993,-0.13942145227949435,0.23066219613271396,0.7826726949062065,15.799970845900482,7275119.855729494,0.024796932892597212
1998,-17,7324353.559704,487705.56552962295,683061,0.8695652174147216,1.2070810415,JIP_SNA_equal_weight,15.806715457738086,13.097467153422292,13.434339446424303,-0.13976194234822886,0.18820508277773115,0.7934003631503496,15.775429716302085,7098753.166954017,0.03128574143600105
1999,-16,7202686.704876,485993.72156505904,690962.4,0.8779069162875341,1.2245271850000001,JIP_SNA_equal_weight,15.789964667836848,13.093950984208771,13.445840687376409,-0.13021470886306172,0.20255479806197504,0.8042750696988891,15.760332966113431,6992389.953286798,0.029631701723417336
2000,-15,7207762.998788,500363.5359116023,701749.3,0.8830128592081032,1.2310878175,JIP_SNA_equal_weight,15.79066919742841,13.123090185038864,13.461331496717397,-0.12441551539463315,0.2078981830006686,0.8152988299257597,15.77976534921749,7129597.571533866,0.010903848210920941
2001,-14,7112625.184896001,501806.1395348837,710804.9,0.8875387426046512,1.1874636725,JIP_SNA_equal_weight,15.7773819579502,13.125969147863294,13.47415326887984,-0.119303104946315,0.17181966487978,0.826473686828529,15.773280838777906,7083515.193956362,0.004101119172293721
2002,-13,6972567.45951,502255.47169811325,713480.3,0.8820166145283019,1.188618025,JIP_SNA_equal_weight,15.757494073519085,13.126864176989391,13.477910105146446,-0.12554438581909044,0.1727913087353195,0.8378017114070186,15.770488462516537,7063762.9449719265,-0.012994388997451978
2003,-12,6972604.096600001,509329.2987512008,716599,0.8912655971181557,1.1625303715,JIP_SNA_equal_weight,15.757499327967173,13.140850038709122,13.482271688373368,-0.1151128071339339,0.1505989841596011,0.8492850030471171,15.77245163124316,7077643.9243719485,-0.014952303275986623
2004,-11,7021128.921202,520072.08171206224,722919.2,0.8966032928988328,1.171846388,JIP_SNA_equal_weight,15.76443457805869,13.161722699627973,13.491052738325823,-0.10914177461660213,0.15858061430524034,0.8609256899098514,15.783531566683347,7156499.814481616,-0.01909698862465703
2005,-10,7009480.60386,529443.5467980296,733117.8,0.9199518414778326,1.1457484215,JIP_SNA_equal_weight,15.762774162665135,13.179581822283101,13.505061677369785,-0.0834339565289094,0.13605806670595097,0.8727259293257922,15.781730923142034,7143625.104172896,-0.018956760476898538
2006,-9,7071738.89018,537876.6169154228,744573.5,0.9267388547263683,1.1660832195,JIP_SNA_equal_weight,15.771616960980552,13.195384476253832,13.520566850209132,-0.0760834632158218,0.1536504571653325,0.8846879081948653,15.78705121573611,7181732.561433252,-0.01543425475555793
2007,-8,7068733.546302,547307.6381909547,755589.5,0.9337531463316583,1.174192767,JIP_SNA_equal_weight,15.77119189117659,13.212766333166462,13.53525351827154,-0.06854317297542334,0.1605809046902944,0.8968138433916423,15.793855825810455,7230768.0958112525,-0.022663934633865068
2008,-7,6966056.295562,540928.3975659229,761944.2,0.9506963183569979,1.13577577355,JIP_SNA_equal_weight,15.756559811351455,13.20104219706548,13.543628603641,-0.050560596184871714,0.12731591837810216,0.9091059821761867,15.766334014944375,7034477.786103867,-0.009774203592920472
2009,-6,6675209.8029539995,508514.96945010184,754070.8,0.9450482517311609,1.0751054536,JIP_SNA_equal_weight,15.713911192910796,13.139249932484061,13.533241541786083,-0.0565192927589389,0.07241875314058466,0.9215666026105314,15.700713072184561,6587688.407518358,0.013198120726235274
2010,-5,6731499.1117320005,529739.979231568,745677.4,0.9552331285565939,1.0973148107500001,JIP_SNA_equal_weight,15.7223084274445,13.180141559918729,13.522048345978611,-0.04579985462047495,0.09286611437180894,0.9341980139808649,15.729438096619264,6779663.969171674,-0.00712966917476443
2011,-4,6704599.555248,528630.8016877637,737122.5,0.9710875011603376,1.0174832029,JIP_SNA_equal_weight,15.718304349610605,13.178045549768267,13.510509371742026,-0.029338700270612715,0.017332129991962906,0.9470025572255031,15.712305018699087,6664496.858841132,0.005999330911517831
2012,-3,6738811.4934,537063.8682252922,735926.4,0.9641385353878854,0.99407563895,JIP_SNA_equal_weight,15.723394131048616,13.193872301661397,13.50888539271068,-0.03652028578813262,-0.005941979697541684,0.9599826053687283,15.72491445311161,6749064.44911429,-0.0015203220629942393
2013,-2,6718223.962466001,547980.0851970181,735587.2,0.9739909799787007,1.00270346875,JIP_SNA_equal_weight,15.72033438626853,13.213994224388452,13.508424370799625,-0.02635323618463883,0.0026998209513530093,0.9731405639605736,15.733145929264838,6804848.489703179,-0.01281154299630849
2014,-1,6751061.737418,553105.3403141361,740014.3,0.9661222876439791,0.97542102665,JIP_SNA_equal_weight,15.725210344911536,13.22330375117777,13.514424789317964,-0.0344648610177267,-0.024886078987538127,0.986478871522636,15.739703094519038,6849615.618107352,-0.01449274960750202
2015,0,6757173.587472,562940.2051282051,748231.3,0.9508047300512821,1,JIP_SNA_equal_weight,15.726115252225345,13.240928693893844,13.525467433755471,-0.050446568696438376,0,1,15.758510177983217,6979655.917128893,-0.03239492575787217
