year,data_type,POP,RY,D_GDP,D_C,P,PG,PG_TFP,A_LABOR,PartRate,ADD_LFPR,U_rate,W,H,LS,MHS,E,L,MHD,E_RY,MHD_RY,E_est,U
1995,actual,105556,475325.44802867377,1.1159999999999999,1.052,0.9590000000000001,1.5,0.8,0.7518665856794914,0.6315131304710296,0,0.03135313531353135,0.9329371817000001,117.8,66660,7852548,64570,7606346,7606346,0.135843768238777,16.00239589852793,64570,2090
1996,actual,106173,489890.4932735426,1.115,1.054,0.96,1.5,0.8,0.7626648750809725,0.6320816026673448,0,0.03352704514975414,0.9423240034,117.9,67110,7912269,64860,7646994,7646994,0.13239693541834827,15.609598685823261,64860,2250
1997,actual,106791,496515.9498207886,1.1159999999999999,1.067,0.977,1.3,0.7,0.7736182492491116,0.6355404481651076,0,0.03388831589804037,0.9707652623,116.3,67870,7893281,65570,7625791,7625791,0.1320602087881904,15.358602282066542,65570,2300
1998,actual,107413,487705.56552962295,1.114,1.068,0.983,1.1,0.7,0.7847289355075114,0.632418794745515,0,0.041071691447077875,0.9686956522,115,67930,7811950,65140,7491100,7491100,0.1335641924226584,15.359882128605717,65140,2790
1999,actual,107925,485993.72156505904,1.099,1.061,0.98,1,0.8,0.7959991931685408,0.6281213805883715,0,0.046762059300781825,0.964819701,113.7,67790,7707723,64620,7347294,7347294,0.13296468067921213,15.118084193226418,64620,3170
2000,actual,108454,500363.5359116023,1.0859999999999999,1.051,0.973,1,0.9,0.8074313139927577,0.6238589632470909,0,0.04729530002955956,0.9589519651,114.5,67660,7747070,64460,7380670,7380670,0.12882633400246007,14.750615243281677,64460,3200
2001,actual,109033,501806.1395348837,1.075,1.037,0.9670000000000001,0.9,1.1,0.8190276226549286,0.6192620582759348,0,0.050355450236966824,0.9541041482999999,113.3,67520,7650016,64120,7264796,7264796,0.127778428656596,14.477295966792328,64120,3400
2002,actual,109384,502255.47169811325,1.06,1.022,0.958,0.9,1.1,0.8307904772167418,0.611515395304615,0,0.05367020481387352,0.9349376114000001,112.2,66890,7505058,63300,7102260,7102260,0.12603147913149512,14.140731958553753,63300,3590
2003,actual,109789,509329.2987512008,1.041,1.011,0.955,0.9,1.1,0.8427222696063097,0.607164652196486,0,0.052505250525052505,0.9278074866,112.2,66660,7479252,63160,7086552,7086552,0.12400621789254784,13.913497647543869,63160,3500
2004,actual,110053,520072.08171206224,1.028,1.006,0.955,0.9,1,0.8548254261045573,0.6035273913478052,0,0.04712436013249021,0.9217081851000001,112.4,66420,7465608,63290,7113796,7113796,0.1216946693074759,13.678480830160291,63290,3130
2005,actual,110247,529443.5467980296,1.015,0.997,0.9520000000000001,0.8,0.8,0.8671024078385963,0.6032817219516178,0,0.044354232446248684,0.9337511191,111.7,66510,7429167,63560,7099652,7099652,0.12005057080098223,13.409648758469716,63560,2950
2006,actual,110466,537876.6169154228,1.005,0.997,0.955,0.6,0.7,0.8795557112821857,0.6032625423207141,0,0.041266506602641057,0.931372549,112.2,66640,7477008,63890,7168458,7168458,0.1187818878730812,13.32732781935971,63890,2750
2007,actual,110740,547307.6381909547,0.995,0.993,0.955,0.4,0.6,0.8921878687633792,0.603575943651797,0,0.038450029922202276,0.9290843806,111.4,66840,7445976,64270,7159678,7159678,0.11742938617198014,13.081633619558586,64270,2570
2008,actual,110908,540928.3975659229,0.986,1,0.968,0.1,0.6,0.9050014489794636,0.6017600173116456,0,0.03970632304465088,0.9373865698999999,110.2,66740,7354748,64090,7062718,7062718,0.11848148532854452,13.056659683205607,64090,2650
2009,actual,111021,508514.96945010184,0.982,0.976,0.955,0.1,0.7,0.9179990575192928,0.5989857774655245,0,0.05052631578947368,0.9280373832,107,66500,7115500,63140,6755980,6755980,0.12416546963854055,13.28570525132384,63140,3360
2010,actual,111254,529739.979231568,0.963,0.9620000000000001,0.948,0.3,0.9,0.9311833373931239,0.5961133981699535,0,0.050361881785283474,0.9198895027999999,108.6,66320,7202352,62980,6839628,6839628,0.11888851600620692,12.911292838274072,62980,3340
2011,actual,111129,528630.8016877637,0.948,0.9570000000000001,0.945,0.5,1.1,0.9445569695700621,0.5935444393452655,0,0.04593693147362038,0.9205909511,108.3,65960,7143468,62930,6815319,6815319,0.11904338490886816,12.892398585630422,62930,3030
2012,actual,111046,537063.8682252922,0.941,0.951,0.945,0.7,1.2,0.9581226735232252,0.5911964411144931,0,0.04341203351104341,0.9072543618000001,108.9,65650,7149285,62800,6838920,6838920,0.1169320889292372,12.733904484393932,62800,2850
