year,t_ai,L,RY,RK,W_PY,UCAP,UCAP_source,log_L,log_RY,log_RK,log_W_PY,log_UCAP,A_LABOR_hat,fitted_log_L,fitted_L,residual_log_L
1997,-18,7625791,496515.9498207886,672576.7,0.8698613461469535,1.2594337260000001,JIP_SNA_equal_weight,15.847046612782284,13.115370886464552,13.4188714359993,-0.13942145227949435,0.23066219613271396,0.7736182492491116,15.823187137879701,7445997.054846243,0.02385947490258289
1998,-17,7491100,487705.56552962295,683061,0.8695652174147216,1.2070810415,JIP_SNA_equal_weight,15.829226207193475,13.097467153422292,13.434339446424303,-0.13976194234822886,0.18820508277773115,0.7847289355075114,15.79743574975368,7256700.085225203,0.03179045743979536
1999,-16,7347294,485993.72156505904,690962.4,0.8779069162875341,1.2245271850000001,JIP_SNA_equal_weight,15.80984264013498,13.093950984208771,13.445840687376409,-0.13021470886306172,0.20255479806197504,0.7959991931685408,15.781729434839303,7143614.472304056,0.028113205295676735
2000,-15,7380670,500363.5359116023,701749.3,0.8830128592081032,1.2310878175,JIP_SNA_equal_weight,15.814374978363723,13.123090185038864,13.461331496717397,-0.12441551539463315,0.2078981830006686,0.8074313139927577,15.800324554253857,7277693.581541594,0.014050424109866455
2001,-14,7264796,501806.1395348837,710804.9,0.8875387426046512,1.1874636725,JIP_SNA_equal_weight,15.79855077475745,13.125969147863294,13.47415326887984,-0.119303104946315,0.17181966487978,0.8190276226549286,15.79296105704249,7224301.124004378,0.005589717714959974
2002,-13,7102260,502255.47169811325,713480.3,0.8820166145283019,1.188618025,JIP_SNA_equal_weight,15.775923601220864,13.126864176989391,13.477910105146446,-0.12554438581909044,0.1727913087353195,0.8307904772167418,15.788599940501552,7192863.705824536,-0.012676339280687898
2003,-12,7086552,509329.2987512008,716599,0.8912655971181557,1.1625303715,JIP_SNA_equal_weight,15.773709461458175,13.140850038709122,13.482271688373368,-0.1151128071339339,0.1505989841596011,0.8427222696063097,15.7900072697788,7202993.559853157,-0.01629780832062444
2004,-11,7113796,520072.08171206224,722919.2,0.8966032928988328,1.171846388,JIP_SNA_equal_weight,15.777546555228941,13.161722699627973,13.491052738325823,-0.10914177461660213,0.15858061430524034,0.8548254261045573,15.800260381005371,7277226.563288181,-0.022713825776429886
2005,-10,7099652,529443.5467980296,733117.8,0.9199518414778326,1.1457484215,JIP_SNA_equal_weight,15.775556326725807,13.179581822283101,13.505061677369785,-0.0834339565289094,0.13605806670595097,0.8671024078385963,15.79883195210878,7266838.983304085,-0.02327562538297201
2006,-9,7168458,537876.6169154228,744573.5,0.9267388547263683,1.1660832195,JIP_SNA_equal_weight,15.785201126684985,13.195384476253832,13.520566850209132,-0.0760834632158218,0.1536504571653325,0.8795557112821857,15.803409224768906,7300177.528305707,-0.018208098083920987
